article_id,publication_datetime,publication_week,Headline,Outlet,Reporter,contributor_display_name,contributor_type,synthetic_author_flag,opinion_attribution,opinion_owner,opinion_owner_type,stance_owner_side,primary_voice_score,secondary_voice_score,mixed_voice_score,secondary_cue_count,primary_cue_count,mixed_cue_count,reported_actor_count,attribution_confidence,attribution_evidence,dominant_frame,cluster_display_name,stance_bucket,stance_score,mention_weight,Estimated Reach,Link,opinion_attribution_v2,opinion_attribution_label,is_actor_mediated,is_publication_owned,is_contested_or_multi_actor
15,2026-05-01,2026-04-27/2026-05-03,"Ukrainian diplomat on Irish neutrality: ‘Security is something you need to discuss, but which makes you very nervous’",The Irish Times,Lara Marlowe,Lara Marlowe,real_reporter_metadata,False,mixed_reported_opinion,multiple_actors,multiple_reported_actors,mixed_or_unclear,0.0,10.8,5.2,14,0,4,8,high,"secondary cues: \bsaid\b, \bsays\b, \btold\b, \bthey said\b | mixed cues: \bwhile\b, \bbut\b | actors: Sergiy Kyslytsya, Volodymyr Zelenskiy, Fianna Fáil, Russia, Ukraine",Ukraine / Russia / Moral Responsibility,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.9766379006100212,416834,https://irishtimes.com/world/europe/2026/05/01/stop-you-have-crossed-a-line-ukrainian-diplomat-likens-irish-security-attitude-to-stance-on-birth-control,multi_actor_contested_reported_opinion,Multi-actor / contested reported opinion,True,False,True
16,2026-05-01,2026-04-27/2026-05-03,Whisky diplomacy of King Charles and Donald Trump can’t mask depth of US-UK political breach,The Irish Times,Mark Paul,Mark Paul,real_reporter_metadata,False,mixed_reported_opinion,multiple_actors,multiple_reported_actors,mixed_or_unclear,0.0,10.8,5.2,9,0,4,4,high,"secondary cues: \bsaid\b, \btold\b, \bwarned\b, \bsuggested\b | mixed cues: \bwhile\b, \bhowever\b, \bbut\b | actors: NATO, United States, Israel, Donald Trump",Ukraine / Russia / Moral Responsibility,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.9391379006100212,416834,https://irishtimes.com/world/uk/2026/05/01/whisky-diplomacy-of-king-charles-and-donald-trump-cant-mask-depth-of-us-uk-political-breach,multi_actor_contested_reported_opinion,Multi-actor / contested reported opinion,True,False,True
17,2026-05-01,2026-04-27/2026-05-03,WLR FM - Neutrality,WLR FM,,Sarah Byrne,synthetic_demo_author,True,factual_or_low_opinion_reporting,none_clear,factual_or_low_opinion,mixed_or_unclear,0.0,0.7,0.0,0,0,0,1,low,actors: Sinn Féin,Other Neutrality Debate,Sinn Féin and government neutrality clash,Mixed / procedural / unclear,0.0,0.7856912322125866,65000,,factual_low_opinion_reporting,Factual / low-opinion reporting,False,False,False
19,2026-04-30,2026-04-27/2026-05-03,North West Today - Neutrality,North West Today,,Jack O'Donnell,synthetic_demo_author,True,factual_or_low_opinion_reporting,none_clear,factual_or_low_opinion,mixed_or_unclear,0.0,0.7,0.0,0,0,0,1,low,actors: Government,Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.6710276893250762,50000,,factual_low_opinion_reporting,Factual / low-opinion reporting,False,False,False
20,2026-04-30,2026-04-27/2026-05-03,Tom MacSweeney column: Recognition for those who saved German sub crew,Echo Live,,Ronan Doyle,synthetic_demo_author,True,secondary_reported_opinion,reported_actor_unclear,reported_actor,mixed_or_unclear,0.0,5.0,0.0,5,0,0,0,high,"secondary cues: \bsaid\b, \btold\b, \baccording to\b, \baccording to .*",Ukraine / Russia / Moral Responsibility,General neutrality debate #2,Mixed / procedural / unclear,0.0,0.7424596883743584,55633,https://echolive.ie/corknews/arid-41836028.html,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
22,2026-04-29,2026-04-27/2026-05-03,New law will free IDA and EI to support firms with defence links,The Irish Independent,,Jack O'Donnell,synthetic_demo_author,True,secondary_reported_opinion,Government,reported_actor,reform_redefine,0.0,9.4,2.0,12,0,0,2,high,"secondary cues: \bsaid\b, \bhe said\b, \bthe government said\b, \bminister .* said\b | actors: Government, Ukraine",Ukraine / Russia / Moral Responsibility,Ukraine war and moral neutrality,Reform / redefine neutrality,0.325,0.8686267819994873,61457,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
24,2026-04-28,2026-04-27/2026-05-03,Hard Shoulder - Neutrality,Hard Shoulder,,Conor Ryan,synthetic_demo_author,True,factual_or_low_opinion_reporting,none_clear,factual_or_low_opinion,mixed_or_unclear,0.0,0.0,1.6,0,0,2,0,medium,mixed cues: \bbut\b,Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.7114925937285427,150000,,factual_low_opinion_reporting,Factual / low-opinion reporting,False,False,False
25,2026-04-28,2026-04-27/2026-05-03,Marine Notice: Inshore Geophysical and Geotechnical Survey in Galway Bay,Ireland Afloat,,Maeve Kelly,synthetic_demo_author,True,factual_or_low_opinion_reporting,none_clear,factual_or_low_opinion,reform_redefine,0.0,0.7,0.0,0,0,0,1,low,actors: Government,Defence Capability / Underinvestment,General neutrality debate,Reform / redefine neutrality,0.325,0.7411653896888599,53712,https://afloat.ie/port-news/undersea-cables/item/71118-marine-notice-inshore-geophysical-and-geotechnical-survey-in-galway-bay,factual_low_opinion_reporting,Factual / low-opinion reporting,False,False,False
26,2026-04-28,2026-04-27/2026-05-03,Midlands 103 - Neutrality,Midlands 103,,Clare Walsh,synthetic_demo_author,True,factual_or_low_opinion_reporting,none_clear,factual_or_low_opinion,mixed_or_unclear,0.0,0.0,0.0,0,0,0,0,low,,Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.7933391462033385,80000,,factual_low_opinion_reporting,Factual / low-opinion reporting,False,False,False
27,2026-04-28,2026-04-27/2026-05-03,RTE - Radio 1 - Neutrality,RTE - Radio 1,,Ronan Doyle,synthetic_demo_author,True,factual_or_low_opinion_reporting,none_clear,factual_or_low_opinion,mixed_or_unclear,0.0,0.7,0.0,0,0,0,1,low,actors: Ukraine,Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.9794578255323246,450000,,factual_low_opinion_reporting,Factual / low-opinion reporting,False,False,False
28,2026-04-27,2026-04-27/2026-05-03,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,Nenagh Guardian,,Hannah Quinn,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,preserve_neutrality,0.0,7.8,2.8,3,0,1,8,high,"secondary cues: \bsaid\b, \bmaintained\b | mixed cues: \bwhile\b | actors: Micheál Martin, Lelia Doolan, Government, Dáil, Palestine",Shannon / US Military / Anti-war,Shannon Airport and US military use,Preserve / strengthen neutrality,-0.833,0.7796031023070572,55097,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh,multi_actor_reported_opinion,Multi-actor reported opinion,True,False,True
29,2026-04-23,2026-04-20/2026-04-26,Galway Bay FM - Neutrality,Galway Bay FM,,Orla Gallagher,synthetic_demo_author,True,unclear_attribution,unclear,unclear,mixed_or_unclear,0.0,1.4,1.2,0,0,0,2,medium,"actors: Sinn Féin, People Before Profit",Other Neutrality Debate,Sinn Féin and government neutrality clash,Mixed / procedural / unclear,0.0,0.8109373455014646,129000,,unclear_attribution,Unclear attribution,False,False,False
30,2026-04-23,2026-04-20/2026-04-26,,Roscommon People,,Kate Molloy,synthetic_demo_author,True,factual_or_low_opinion_reporting,none_clear,factual_or_low_opinion,mixed_or_unclear,0.0,0.7,0.0,0,0,0,1,low,actors: NATO,Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.6093937855800544,1500,,factual_low_opinion_reporting,Factual / low-opinion reporting,False,False,False
31,2026-04-22,2026-04-20/2026-04-26,Seán Kelly: Viktor Orbán's loss is the EU's opportunity for a bold move on foreign policy,The Irish Examiner,,Conor Ryan,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,preserve_neutrality,4.9,5.8,3.6,1,3,3,7,low,"secondary cues: \bmaintained\b | primary cues: \bwe must\b, \bwe should\b | mixed cues: \bwhile\b, \bbut\b | actors: Government, Dáil, Defence Forces, UN Security Council, Russia",Triple Lock / UN Mandate,Ukraine war and moral neutrality,Preserve / strengthen neutrality,-0.5,1.0323588861492043,409767,https://irishexaminer.com/opinion/commentanalysis/arid-41831303.html,multi_actor_reported_opinion,Multi-actor reported opinion,True,False,True
33,2026-04-21,2026-04-20/2026-04-26,Ireland is addicted to contracting away all kinds of State capacity,The Irish Examiner,,Fiona Murray,synthetic_demo_author,True,unclear_attribution,unclear,unclear,mixed_or_unclear,1.3,0.7,3.2,0,0,14,1,medium,"mixed cues: \bwhile\b, \bbut\b | actors: Defence Forces",Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,1.0323588861492043,409767,https://irishexaminer.com/opinion/commentanalysis/arid-41830613.html,unclear_attribution,Unclear attribution,False,False,False
34,2026-04-21,2026-04-20/2026-04-26,The Opinion Line - Neutrality,The Opinion Line,,Michael O'Connor,synthetic_demo_author,True,primary_publication_opinion,publication_voice,publication_or_contributor_voice,mixed_or_unclear,2.1,0.0,1.6,0,0,2,0,medium,mixed cues: \bbut\b,Other Neutrality Debate,Triple Lock and UN mandate debate,Mixed / procedural / unclear,0.0,0.7614924639359961,89000,,publication_owned_opinion,Publication-owned opinion,False,True,False
36,2026-04-20,2026-04-20/2026-04-26,Classic Hits 4FM - Neutrality,Classic Hits 4FM,,Sean O'Sullivan,synthetic_demo_author,True,unclear_attribution,unclear,unclear,mixed_or_unclear,1.3,1.4,1.2,0,0,0,2,low,"actors: Micheál Martin, Sinn Féin",Other Neutrality Debate,Sinn Féin and government neutrality clash,Mixed / procedural / unclear,0.0,1.0445476589502094,200000,,unclear_attribution,Unclear attribution,False,False,False
37,2026-04-20,2026-04-20/2026-04-26,"Crime fiction: Anne Cadwallader blends politics, violence, law and media in gripping debut",The Irish Times,,Brian Connolly,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,mixed_or_unclear,1.3,3.7,3.2,1,0,7,1,medium,secondary cues: \btold\b | mixed cues: \bbut\b | actors: Sinn Féin,Ukraine / Russia / Moral Responsibility,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,1.0330516906710236,416834,https://irishtimes.com/culture/books/review/2026/04/20/crime-fiction-anne-cadwallader-blends-politics-violence-law-and-media-in-gripping-debut,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
38,2026-04-20,2026-04-20/2026-04-26,"In a world thirsty for bloody war, Ireland must protect the Triple Lock at all costs",The Irish Independent,,Aoife Brennan,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,preserve_neutrality,7.3,9.8,6.6,5,6,13,9,low,"secondary cues: \bsaid\b, \btold\b, \bargued\b, \baccording to\b | primary cues: \bireland must\b, \bireland should\b, \bwe must\b, \bwe should\b | mixed cues: \bwhile\b, \bbut\b | actors: Micheál Martin, Government, Dáil, Defence Forces, UN Security Council",Ukraine / Russia / Moral Responsibility,Triple Lock and UN mandate debate,Lean preserve neutrality,-0.25,0.955489460199436,61457,,multi_actor_contested_reported_opinion,Multi-actor / contested reported opinion,True,False,True
39,2026-04-20,2026-04-20/2026-04-26,Newstalk - Neutrality,Newstalk,,Aisling Kennedy,synthetic_demo_author,True,primary_publication_opinion,publication_voice,publication_or_contributor_voice,mixed_or_unclear,2.1,0.0,1.6,0,0,2,0,medium,mixed cues: \bbut\b,Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,1.1,786000,,publication_owned_opinion,Publication-owned opinion,False,True,False
41,2026-04-20,2026-04-20/2026-04-26,Proposal to increase EU tariffs on goods from Israeli settlements,The Irish Times,,Brian Connolly,synthetic_demo_author,True,mixed_reported_opinion,multiple_actors,multiple_reported_actors,mixed_or_unclear,0.0,10.8,2.8,12,0,1,4,high,"secondary cues: \bsaid\b, \bsays\b, \bwarned\b, \bcalled for\b | mixed cues: \bbut\b | actors: Government, Israel, Gaza, EU",Other Neutrality Debate,Ukraine war and moral neutrality,Mixed / procedural / unclear,0.0,0.9391379006100212,416834,https://irishtimes.com/world/europe/2026/04/20/proposal-to-increase-eu-tariffs-on-goods-from-israeli-settlements,multi_actor_reported_opinion,Multi-actor reported opinion,True,False,True
42,2026-04-19,2026-04-13/2026-04-19,Classic Hits 4FM - Neutrality,Classic Hits 4FM,,Conor Ryan,synthetic_demo_author,True,secondary_reported_opinion,Sinn Féin,reported_actor,preserve_neutrality,0.0,6.8,2.0,2,0,0,4,high,"secondary cues: \bsaid\b, \bsays\b | actors: Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.833,0.9495887808638266,200000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
43,2026-04-19,2026-04-13/2026-04-19,Cork's 96 FM - Neutrality,Cork's 96 FM,,Maeve Kelly,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,2.8,2.0,0,0,1,4,medium,"mixed cues: \bwhile\b | actors: Mary Lou McDonald, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.8,0.8097771582399785,125000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
44,2026-04-19,2026-04-13/2026-04-19,'Don't go out': Living through the cost of living crisis,The Irish Times,,Ronan Doyle,synthetic_demo_author,True,secondary_reported_opinion,Lelia Doolan,reported_actor,mixed_or_unclear,0.0,2.8,1.2,0,0,0,4,high,"actors: Lelia Doolan, Government, Dáil, Donald Trump",Other Neutrality Debate,Sinn Féin and government neutrality clash,Mixed / procedural / unclear,0.0,0.9391379006100212,416834,https://irishtimes.com/video/video/2026/04/19/dont-go-out-living-through-the-cost-of-living-crisis,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
45,2026-04-19,2026-04-13/2026-04-19,FM104 - Neutrality,FM104,,Kate Molloy,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,2.1,1.2,0,0,0,3,medium,"actors: Mary Lou McDonald, Fianna Fáil, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.8,0.8356013248627635,252000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
46,2026-04-19,2026-04-13/2026-04-19,FM104 - Neutrality,FM104,,Kate Molloy,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,5.8,1.2,1,0,0,4,high,"secondary cues: \bsays\b | actors: Mary Lou McDonald, Sinn Féin, Fianna Fáil, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.857,0.8356013248627635,252000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
47,2026-04-19,2026-04-13/2026-04-19,Galway Bay FM - Neutrality,Galway Bay FM,,Mark Duffy,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,5.8,1.2,1,0,0,5,high,"secondary cues: \bsaid\b | actors: Mary Lou McDonald, Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.833,0.8109373455014646,129000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
48,2026-04-19,2026-04-13/2026-04-19,Galway Bay FM - Neutrality,Galway Bay FM,,Mark Duffy,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,6.8,2.0,2,0,0,5,high,"secondary cues: \bsaid\b, \bsays\b | actors: Mary Lou McDonald, Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.857,0.8109373455014646,129000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
49,2026-04-19,2026-04-13/2026-04-19,Galway Bay FM - Neutrality,Galway Bay FM,,Mark Duffy,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,5.8,1.2,1,0,0,5,high,"secondary cues: \bsays\b | actors: Mary Lou McDonald, Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.833,0.8109373455014646,129000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
50,2026-04-19,2026-04-13/2026-04-19,KFM Radio - Neutrality,KFM Radio,,Roisin Farrell,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,6.8,2.0,2,0,0,5,high,"secondary cues: \bsaid\b, \bsays\b | actors: Mary Lou McDonald, Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.857,0.29,0,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
51,2026-04-19,2026-04-13/2026-04-19,KFM Radio - Neutrality,KFM Radio,,Roisin Farrell,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,8.8,2.0,4,0,0,5,high,"secondary cues: \bsaid\b, \bsays\b, \baccording to\b, \baccording to .* | actors: Mary Lou McDonald, Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.857,0.29,0,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
52,2026-04-19,2026-04-13/2026-04-19,KFM Radio - Neutrality,KFM Radio,,Roisin Farrell,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,2.8,1.2,0,0,0,6,high,"actors: Mary Lou McDonald, Simon Harris, Sinn Féin, Fianna Fáil, Fine Gael",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.667,0.29,0,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
53,2026-04-19,2026-04-13/2026-04-19,Limerick's Live 95FM - Neutrality,Limerick's Live 95FM,,James Buckley,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,2.8,1.2,0,0,0,4,high,"actors: Mary Lou McDonald, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.8,0.7984869643716148,92000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
54,2026-04-19,2026-04-13/2026-04-19,Limerick's Live 95FM - Neutrality,Limerick's Live 95FM,,James Buckley,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,5.8,1.2,1,0,0,5,high,"secondary cues: \bsaid\b | actors: Mary Lou McDonald, Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.857,0.7984869643716148,92000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
55,2026-04-19,2026-04-13/2026-04-19,Limerick's Live 95FM - Neutrality,Limerick's Live 95FM,,James Buckley,synthetic_demo_author,True,secondary_reported_opinion,Sinn Féin,reported_actor,preserve_neutrality,0.0,6.8,2.0,2,0,0,4,high,"secondary cues: \bsaid\b, \bsays\b | actors: Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.875,0.7984869643716148,92000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
56,2026-04-19,2026-04-13/2026-04-19,Midlands 103 - Neutrality,Midlands 103,,Ronan Doyle,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,5.8,1.2,1,0,0,5,high,"secondary cues: \bsays\b | actors: Mary Lou McDonald, Sinn Féin, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Ukraine war and moral neutrality,Preserve / strengthen neutrality,-0.833,0.7933391462033385,80000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
57,2026-04-19,2026-04-13/2026-04-19,Midlands Today - Neutrality,Midlands Today,,James Buckley,synthetic_demo_author,True,secondary_reported_opinion,Mary Lou McDonald,reported_actor,preserve_neutrality,0.0,2.8,1.2,0,0,0,4,high,"actors: Mary Lou McDonald, Fianna Fáil, Fine Gael, Government",Other Neutrality Debate,Sinn Féin and government neutrality clash,Preserve / strengthen neutrality,-0.8,0.6883391462033385,80000,,single_actor_reported_opinion,Single-actor reported opinion,True,False,False
